sentiment,content
1.0,darlenezschech come im merci btw always inspired since teenager
1.0,wanna see jb movie experience wanna quottouchquot joe hehehe
0.0,craving munchkins bad
1.0,engaged may st best guy could happier love jay
1.0,starbucks im lovin
0.0,thenewbradie tvs working wanna watch vhits
1.0,like taking dogs car run errands always excited go anywhere like morning krogers
1.0,rikkalaniz im glad didnt get hurt know bad things happen motorcycles everyone else okay right
0.0,karma bitch got hung lol im still big dawg though
1.0,wolfierankin yep buddy long time talk hows things see cat still like sinking fangs ankle lol
0.0,wondering happened sun damn may grey
0.0,donniesgirl yes blame
1.0,akissforjersey amazinglt sooo soothing
1.0,realbillbailey good moring mr bailey birthday today
1.0,amberbenson loved continue delight us amber great job backing video adambusch kudos
1.0,anncurry photos amazing great subject amp way get people educated darfur hugs u inspiring woman
1.0,time next week hopefully holding lili arms
1.0,pandalion wow totally awesome action guinea pigs want go see think wed allowed take lance
1.0,sixxjohn think followin u bout week yea kinda
0.0,esatt dont wanna see youre
1.0,greg cried l could got still love greg bgt
0.0,guilty awww thats nice attempt hiding camera
1.0,saw lovely skinny jeans today charity shop little bit tight thighs ahhh annoying
1.0,jtimberlake lovin performance snl tonight damn funny
0.0,hate sick make soup
0.0,todays weigh lost pound week depressing
1.0,stormey meanie one time go lux wont
1.0,laydmaxix aww keep sending
1.0,happy mothers day love mama
1.0,therealjspace bows glad service
1.0,traveling alone makes meet new peoplenew circle strangers become friends
1.0,alohazen u hav garden bunny probs r decidedly uncool thanks link
1.0,another fun night chilled wit homie green turtle n parkgood timesgood times
0.0,kristawatson cant weekend sorry steph working
0.0,didnt devos hopefully day doesnt suck
0.0,itslisali bad cant come enjoy urself tho
1.0,hey star sending florida sunshine way supertramp raining djdolcevita httpblipfmjucn
1.0,grrrr cant even enjoy beautiful day finish damned essay philosophy
1.0,httptwitpiccomwta pretty damn good friday night
1.0,early morning amwhats amplayed w babies outsidewowwas sfelt greatgot lonely misses sissy jess
1.0,tommcfly cant write song without guitar thought could look something
1.0,cant minutes treadmill done minutes today already gonna minutes
0.0,geewhy youre jealous guess youll walking around office tomorrow malo
1.0,crystalchappell jealous stuck ohio sun safe travels
1.0,sure let moms know fabulous think almost mothers day
0.0,trying new twitter client cant seem get new theme applied destroytwitter
1.0,johnlloydtaylor love mine happy mothers day mom john taylor much love
0.0,miss rich
1.0,omarionsho like ogberry
1.0,alyjo want hug
1.0,happy mothers day mi mothers thanks whatever
1.0,hilaryjp sun
