sentiment,content
1.0,"@DarleneZschech can I come!?   I'm Merci btw., I have always been so inspired by you since I was a teenager."
1.0,wanna see JB 3D Movie Experience again   ... I wanna &quot;touch&quot; Joe again hehehe
0.0,Craving munchkins so bad.
1.0,Engaged May 1st to the best guy  I could not be happier! I love you Jay!
1.0,Starbucks I'm lovin' it
0.0,@TheNewBradie my tvs not working  i wanna watch vhits :'(
1.0,I like taking my dogs with me in the car when I run errands. They are always excited to go anywhere. like this morning to Krogers.
1.0,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
0.0,karma is a bitch ! i just got hung up on  lol i'm still a big dawg though
1.0,"@wolfie_Rankin yep to you buddy  long time no talk, hows things and i see your cat still like sinking fangs into your ankle lol"
0.0,Is wondering what happened to the sun? Damn May grey!
0.0,"@DonniesGirl69  Yes,... I blame you all"
1.0,akissforjersey is amazing&lt;3 sooo soothing.
1.0,"@RealBillBailey good moring mr bailey, it is my birthday today"
1.0,@amber_benson Loved it! You continue to delight us Amber.    Great job on the backing and the video by @adambusch. Kudos.
1.0,@AnnCurry The photos are AMAZING! What a GREAT subject &amp; way to get people educated about Darfur! HUGS! U are an inspiring woman!
1.0,this time next week I will hopefully be holding my Lili in my arms!
1.0,"@pandalion WOW! Totally awesome! Action Guinea Pigs! Want to go and see it now, NOW! Do you think we'd be allowed to take Lance?"
1.0,@Sixxjohn i think i been followin u 4 bout a week so yea kinda
0.0,@esatt you don't wanna see me while you're here?
1.0,GREG D: You should have cried too :L You could have got through!!   I still love you Greg. #BGT
0.0,@guilty_ Awww. So that's him. Nice attempt at hiding from the camera
1.0,"i saw some lovely skinny jeans today for ï¿½3 at a charity shop, but they were just a little bit tight on my thighs.  ahhh so annoying"
1.0,@jtimberlake Lovin' your performance on snl tonight... so damn funny!!!
0.0,I hate being sick.  Make me soup?
0.0,todays weigh in....  only lost 1/2 pound this week :o depressing
1.0,@stormey09 You meanie! The one time you go to Lux and I wont be there!
1.0,@laydmaxix aww  i will keep sending it ;)
1.0,happy mother's day! I love you mama
1.0,@therealjspace *bows* glad to be of service
1.0,"traveling alone makes i meet new people,new circle ..strangers become friends"
1.0,@AlohaZen do u hav a garden? bunny probs r decidedly uncool.   thanks 4d link!
1.0,another fun night!!  chilled wit my homie @ green turtle n the park....good times...good times.
0.0,"@Krista_Watson I can't this weekend, sorry  And Steph is working."
0.0,didnt do my devos...  hopefully my day doesnt suck because of it.
0.0,@itslisali Too bad I can't come!  Enjoy urself tho.
1.0,hey @star45 sending some Florida sunshine your way  Supertramp ï¿½ It's Raining Again ï¿½ @DJDolceVita you m... ? http://blip.fm/~5jucn
1.0,"grrrr, cant even enjoy this b-e-a-utiful day! have to finish that -damned essay for philosophy"
1.0,http://twitpic.com/4wt8a - pretty damn good friday night
1.0,"early morning~2:30 am~what's up? I am!~~!!played w/ my babies outside~wow~was in the 80's~felt great!~~got lonely, misses sissy and jess"
1.0,@tommcfly can't you write a song without your guitar? i thought you could  look for something to do!
1.0,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
0.0,@geewhy  You're just jealous!  Guess you'll be walking around the office tomorrow in your Malo!
1.0,@crystalchappell Jealous.. stuck here with Ohio sun  Safe travels...
1.0,Be sure to let the moms you know how fabulous you think they are!!   Almost Mother's Day.
0.0,"Trying out a new Twitter client, can't seem to get a new theme applied to DestroyTwitter"
1.0,"@JohnLloydTaylor I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too ."
0.0,i miss rich
1.0,@Omarion5sho i like OGBERRY
1.0,@aly_jo3 I want a hug
1.0,Happy Mothers day to all you MI.. mothers out there.   Thanks for doing what you do .. whatever that is
1.0,@hilaryjp  I have sun here
0.0,@billbathgate im not a doofus  it could happen wahhh!!! :'(!!!!!!!!!! im on my break!!
1.0,"ok guys, have to turn this Laptop off to pack.   tweet u guys on the road! bbl......"
1.0,@aidadoll he thinks he's a gangsterrr  his ass don't even fit in G Unit. &amp; I know :| )))))
1.0,"happy mother's day, mom  I hope the breakfast was nice.  I love u ?"
1.0,@claudiaintouch Yeah! I want it too. I love that &quot;Falling Slowly&quot; song. It keeps playing in my head.
1.0,@NeilMcDaid looks class the water splash looks so real  looking forward to my review copy ;)
1.0,Ahh im in love.  hes theeee best.
0.0,The 3d version of Up sold out   regular version it is!
1.0,I'm a 100% Reagan con according to this quiz http://quizfarm.com/run.php/QuizRunner
0.0,"@mtmodular Pixies - Number 13 gives me such an energy rush. They are playing a festival close to me in June, but work won't me me go"
1.0,ofcourse they start fightin aight the party buts its cool theyu held it down now im chillin with my home girl  HAPPY MOTHERS DAY
1.0,@ESQUIRE8 OMG I am @ the hair salon. *tears*  I hope I get out of here soon. We watching the Real House wives of NYC in here.
1.0,Don't you hate it when you're left with one slice of bread left in the bag? Half sandwich.
1.0,"@cassiewho haha no problem, it's fun isn't it"
0.0,@lauriedriscoll did you finish twilight? i did! and i wish it wasnt over
0.0,I'm poorly and can't sleep
1.0,"@vmahmud I am at my office now, dude. yeah, get one!!! come on, let's go live! geez, all u need is time to practice. U'll get used to it"
1.0,@irontec Thanks for the support
1.0,I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9
1.0,Headache  hanging out with my puffy. I love him &lt;3
1.0,Less than 24 hrs until GRADUATION!!! Going out tonight to celebrate
0.0,@AwkwardTown fuck! I'm already thinking about all the shows I'm going to have to miss because I'm broke.
0.0,Sounds like there's a party up the street.  I guess they forgot to invite me
1.0,tonight was hilariouss  i loveeee everyone that was theree
1.0,Daniel has won DSDS. His voice is great.
0.0,@mileycyrus yeah me too  but there isnï¿½t any prom here in germany although school is almost everywhere the same! ?
1.0,School... haha well I hope Today is fun. I will post my regular updates during the day. Follow Me and Stay Updated!
0.0,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1.0,Off to England during the summer holidays this year.... yay!
0.0,if i wasnt workin in 5 hours id be gettin ratarsed to the point where i couldnt even see let alone stand up...THAT is how shit i feel
1.0,@ZooeyDe : It's very nice to be able following you on Twitter
0.0,@Etsy never noticed that before but you're right! guess that's because my heart is always dreaming of travel...
1.0,@NadavS Cant wait to do some of those things
1.0,finished essay. dinner went well me and my brother acted like kids and had spoon fight  then fought over who woould sit in my sisters lap
1.0,"@rehabc give him a gift voucher for something like shoppers' stop or something. that's as good as cash. unless he's immigrating, that is!"
1.0,I have been awarded my first ever credit card
0.0,is working until 11 tonight  http://plurk.com/p/x2kbv
1.0,wish my nicky were home too
1.0,Happy #starwarsday
1.0,1 more day!
1.0,"omds! holly steel, bless her!  x"
1.0,finally got a twitter  follow me tweets &lt;3
0.0,looks like we're rained out for weekend climbing
1.0,have i ever mentioned i love ellen? a lot
1.0,"@AFineFrenzy ali, just like you do!!!   have such a wonderful sunday!"
1.0,"@sethu_j 4ever, it was in she's the man aswell  I love them now. I want gossip girl too! Have decided summer = spending lots."
1.0,Just loaned out a set of aerobars to team mate for tomorrow's Texas Cup race at Alkek. Bummed I won't be there.
0.0,is a bad friend
1.0,[Sarah Mcglaclan song in background] Please donate to jpnnbak' fund of &quot;Dinero for the cable bill&quot; think of how you will make her
1.0,Had a ton of fun w muffin today
1.0,Had lunch. Watching holes on bbc1.
1.0,Teaching people the beauty of twitter
1.0,"I tripped over a rubbish bin at Warehouse Stationary just before. Not a great Mothers' Day so far, but I'm thinking it will improve"
1.0,"@AClockworkToad yw, it gets really hot there in the middle of the summer like 110+ but right now its perfect! and less then an hour away."
1.0,@shaktijs http://twitpic.com/4wkym - Looks Yummy...I can haz smal pies pleess??
1.0,@DutchReaganite Then I'll need plenty of quizzes to get through the work day.
1.0,dared to go back and look at that vid I made - I may take it down
1.0,"@clairezee86 fo sho, im down"
1.0,.. good morning peoplee  looks like it's going to be a nice day today! better than last week it was raining =(.
0.0,"@allysonbrianna Well, yeah. But my mom doesn't wanna drive all the way to Sac if we were that far away."
1.0,@justinphillip. Awesome!  what kind?
1.0,Shot some footage of a fundraiser to purchase a mobile health clinic this morning then a little web work and a full afternoon of climbing
0.0,Awww that lil girl on bgt :'( when they said she didnt have time :'( that was soo sad  and them huggin her
1.0,is excited about tomorrow!!! but i gotta clean the house  CLEAN CLEAN CLEAN AHHHHHHH
0.0,@sassisam agh mine just left for New York last month!!
0.0,"Bad day, just got worse..."
1.0,@patrickmanning Yes PM PM you are right
0.0,"I have never had a Starbucks coffee in my entire life, people keep making me jealous"
1.0,"@NovaWildstar Nothing of the sort! Nevertheless, I shall now go out and share my magnificence with the wider world!"
0.0,found out my &quot;friend&quot; isnt actually. but hey shit happens.
0.0,@Kat_KittyKat  so now im bored..untill i go out
0.0,i got ill and tomorrow iï¿½ve got birthday...
1.0,"@mdjensen I'm a little late but congratulations on your 1st tri, it's a great accomplishment...good night"
1.0,i can't stop listening to @Jonasbrothers new single! (paranoid) it's so amazing. i love them.
0.0,"@lizridley no, i do better with people i don't know  @autumnrose8683 you're going to chiodos tonight, right? just kill something for me."
1.0,"It is so warm out this evening!  And I just met my new neighbors, they're so nice."
1.0,finally leaving this place! woohoo! school time!
0.0,REALLY want to go to Maker Faire tomorrow but I am SO SICK.  #makerfaire
0.0,Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!
1.0,The new view out of my window  http://twitpic.com/4jbx2
1.0,and Mike for bring it to me even tho it was really late and he has to get up at 5am in the morning...
1.0,"@DemiJonasMexico Oh, amazing  I have two too and I need to have the third (yn)"
1.0,Followed by the great Super Mazembe. One of the favorites around here  ? http://blip.fm/~5jkbp
1.0,The battle at Minas Tirith is still very impressive. Return of the Jedi is the best Lord of the Rings movie IMO.
0.0,Has a head cold
1.0,@Agent_M Thanks for remembering
1.0,"winding down, love having a low key day."
1.0,"@sweetemmaxxx i love the cheesey ones, and the cool orignal ones  , , , skips i have when my brother has them got to try them u c haha"
1.0,@kirstiealley: I like your crazy and witty humor!
1.0,Probably the best birthday I've ever had. I got to spend it with all my favorite people.
0.0,Sucky day so far hope it gets better
0.0,is feeling rather lonely and broke...oh wait...I am lonely and broke.
1.0,really fun day  gahhh i want my new phone this razr is killin me
0.0,moving offices  I'm going to miss you Hollywood.
0.0,"@SuzyDunkley sorry bout the cat,"
1.0,@poeticblasphemy I see you finally got to set up your Avatar. Too Cool
0.0,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...
1.0,@twebbstack I know  haha night
1.0,@tracey1972 Morning babe!  I plan on overdoing it today! lol Hope you do rest &amp; put your feet up! xxxx
0.0,@Pharriell nothing  let's stay quiet together. ps: did you cry?
1.0,@llittizzio I'm in a good mood... See?  I'm smiling!!!!!
1.0,"@Jonasbrothers my favorite song is 'Im standing here but you dont see me, i'd give it all for that to change' i dont know what its called"
1.0,Happy imma get to see some lovely ladies
1.0,"Good Morning! Happy Monday, Everyone"
